b_Regneville,Regnéville
b_paszto,Pásztó
b_pat_luneburg,Lüneburg
b_patara,Patara
b_paterno,Paterno
b_patras,Patrai
b_paurai,Paurai
b_pavia,Pavia
b_pavlovomorom,Pavlovo
b_payas,Baiai
b_paykend,Paykend
b_pazaislis,Pažaislis
b_pec_hvosno,Pec
b_pechina,Pechina
b_pechory,Pechory
b_pecs,Pécs
b_pecsvarad,Pécsvárad
b_pedrogao_grande,Pedrogao Grande
b_peebles,Peebles
b_peel,Peel
b_pegadia,Pegadia
b_pegai,Pegai
b_pehe,Pehe
b_peilstein,Peilstein
b_peitramala,Peitramala
b_pelago,Pelago
b_pelusia,Pelusia
b_pelvorm,Pylwærm
b_pelym,Polum
b_pempton,Pempton
b_pemridge,Pembridge
b_pemridge_castle,Newland
b_penacova,Penacova
b_penalva_do_castelo,Penalva do Castelo
b_penamacor,Penamacor
b_pendosis,Pendosis
b_penedes,Penedés
b_penedono,Penedono
b_penela,Penela
b_penfro,Penfro
b_penne_aprutio,Penne
b_penningby,Penningby
b_penrith,Penrith
b_penworthham,Penworthham
b_penyafiel,Peñafiel
b_penyaranda,Peñaranda
b_penza,Penza
b_peralada,Peralada
b_peran,Peran
b_perast,Perast
b_percy,Perci
b_perejaslavl_rjazanskij,Pereyaslavl-Ryazanskiy
b_peremyl,Peremil
b_peremyshl,Peremysl'
b_peremyslmoskv,Peremysl'-Moskovskiy
b_peresopnytsya,Peresopnica
b_pereyaslavl,Pereyaslavl
b_pereyaslavlzalessky,Pereyaslvl'-Zalesskiy
b_pergamon,Pergamon
b_perge,Perge
b_pergine,Pergine
b_pergola,Pergola
b_peristeronaeast,Peristerona
b_perleberg,Perleberg
b_perloja,Perloja
b_pernegg,Pernegg
b_pernik,Pernik
b_pernstejn,Pernstejn
b_perperikon,Perperek
b_perpinya,Perpinyà
b_pershore,Pershore
b_pertek,Pertek
b_perth,Perth
b_pertoma,Perotma
b_perugia,Perugia
b_perushtitsa,Perushtitsa
b_pervan,Parván
b_peryn,Peryn
b_pesaro,Pesaro
b_pescara,Pescara
b_pescia,Pescia
b_pessinos,Pessinos
b_pest,Pest
b_peterborough,Peterborough
b_petervasara,Pétervására
b_petra,Sela
b_petrela,Petrela
b_petrich,Petric
b_petrovskoye,Petrovsk
b_petrykaw,Pererov
b_pettau,Pettau
b_pevensey,Pevensey
b_peyrepertuse,Pèirapertusa
b_pezenas,Pesenàs
b_pfalzaachen,Pfalz-Aachen
b_pfalzgrona,Pfalzgrona
b_pfannberg,Pfannberg
b_pfullendorf,Pfullendorf
b_pharaohosisland,Ile de Graye
b_pharsalos,Pharsalos
b_phaselis,Phaselis
b_philadelpheia,Philadelpheia
b_philippi,Philippoi
b_philomelion,Philomelion
b_phokaia,Phokaia
b_piacenza,Piacenza
b_piatra_neamt,Târgu Piatra
b_pican,Pedena
b_pickering,Pickering
b_pidhirtsi,Plesnesk
b_piedra,Piedra
b_piedrahita,Piedrahita
b_piel_island,Fowdray
b_pieniezno,Mehlsack
b_piensk,Piensk
b_pietra_ligure,Pietra
b_pieusse,Piussa
b_pikalyovo,Voskresensly Luchensky
b_pila,Pila
b_pila_modigliana,Pila
b_pilistvere,Pillistfer
b_pilsovar,Pilsuwar
b_pilssala,Schloss Mitau
b_piltene,Pilten
b_pilypavas,Pilypavas
b_pingvellir,þingvellir
b_pinhel,Pinhel
b_pinneberg,Pinneberg
b_pinsk,Pinsk
b_piobbico,Piobbico
b_piombino,Piombino
b_piotrkow,Piotrków
b_piperno,Piperno
b_piraeus,Peiraieús
b_pirano,Piran
b_pirot,Pirot
b_pirou,Pirou
b_pisa,Pisa
b_pisek,Pisek
b_pishan,Pishan
b_pistoia,Pistoia
b_pitane,Pitane
b_pitesti,Pitesti
b_pitgliano,Pitigliano
b_pitlochry,Pitlochry
b_pitney,Petney
b_pitsunda,Bichvinta
b_piua_petrii,Orasul de Floci
b_pizzo,Pizzo
b_plain,Plain
b_plancoet,Plangoed
b_plankstetten,Plankstetten
b_plasencia,Plasencia
b_plassenburg,Plassenburg
b_platamon,Platamon
b_plauen,Plauen
b_pleshey,Pleshey
b_plesse,Plesse
b_pliska,Pliska
b_plock,Plock
b_ploermel,Ploermel
b_ploiesti,Ploiesti
b_plon,Plön
b_plotho,Plotho
b_plougonven,Plougonven
b_plourivo,Plourivo
b_plovdiv,Plovdiv
b_plympton,Plympton
b_plzen,Plzen
b_poblet,Poblet
b_pocklington,Pocklington
b_podgorica,Ribnica
b_podol,Podol
b_poenari,Cetatea Poenari
b_poggio,Poggio
b_poggiobonsi,Poggiobonsi
b_pogorzela,Pogorzela
b_pohansko,Pohansko
b_poide,Peude
b_poigen,Poigen
b_poimanenos,Poimanenos
b_pokcha,Pokcha
b_pokrov,Pokrov
b_polanow,Pollnow
b_polcenigo,Polcenigo
b_polemonion,Polemonion
b_polenta,Polenta
b_policastro,Policastro
b_poligny,Poligny
b_polotsk,Polotsk
b_polovragi,Polovragi
b_poltava,Ltava
b_poltsamaa,Oberpahlen
b_polybotos,Polybotos
b_polydorion,Polydorion
b_polystylon,Polystylon
b_pombal,Pombal
b_pombia,Pombia
b_pomorie,Anhialo
b_pompeiopolis,Pompeioupolis
b_pomposa,Pomposa
b_ponferrada,Ponferrada
b_pontamousson,Pont-à-Mousson
b_ponte_de_sor,Ponte de Sor
b_pontecorvo,Pontecorvo
b_pontedelima,Ponte de Lima
b_pontefract,Pontefract
b_pontevedra,Pontevedra
b_pontivy,Pontivy
b_pontleveque,Pont-l’Évêque
b_pontorson,Pontorson
b_ponzone,Ponzone
b_poppi,Poppi
b_porcellets,Porcellets
b_porcia,Porcia
b_porciano,Porciano
b_porcien,Porcien
b_pordenone,Pordenone
b_porec_shoshma,Porec
b_porhoet,Porhoët
b_pori,Björneborg
b_porkhov,Porhov
b_porkuni,Borkholm
b_poroszlo,Poroszlo
b_porrentruy,Porrentruy
b_porta,Porta
b_portalegre,Portalegre
b_portchester,Portchester
b_portel,Portel
b_portella,Portella
b_portillo,Portillo
b_porto,Porto
b_porto_ancona,Porto Ancona
b_porto_de_mos,Porto de Mós
b_porto_pisano,Porto Pisano
b_portogruaro,Portogruaro
b_portotorres,Portorres
b_portovenere,Portovenere
b_portugalete,Portugalete
b_porvoo,Borgå
b_posada,Posada
b_posert,Possert
b_postojna,Adelsberg
b_potenza,Potenza
b_poti,Poti
b_pottenstein,Pottenstein
b_pottschach,Pottschach
b_pouilly,Pouilly
b_povoa_de_varzim,Póvoa de Varzim
b_pozega,Požega
b_poznan,Poznan
b_pozocanada,Pozo Cañada
b_pozzuoli,Pozzuoli
b_prabuty,Riesenburg
b_prades,Prades
b_praenetos,Prainetos
b_pragins,Prgains
b_praha,Praha
b_pranckh,Pranckh
b_prato,Prato
b_preetz,Preetz
b_preili,Prely
b_prenzlau,Prenzlau
b_preslav,Preslaw
b_prespa,Prespa
b_pressburg,Pozsonyvár
b_pressentin,Pressentin
b_preston,Preston
b_pretzsch,Pretzsch
b_preveza,Nikopolis
b_prijepolje,Prijepolje
b_prilep,Prilep
b_primda,Primda
b_pristina,Pristina
b_privas,Privas
b_privigye,Privigye
b_prizren,Prizren
b_procida,Procida
b_proenca_a_nova,Proença a Nova
b_prokuplje,Prokuplje
b_pronsk,Pronsk
b_prosek,Prosek
b_prousias,Prousias
b_provadiya,Ovech
b_provins,Provins
b_prozor_rama,Prozor
b_prum,Prüm
b_pryluky,Priluki
b_przedborz,Przedbórz
b_przedecz,Przedecz
b_przemet,Przemet
b_pskov,Pskov
b_puchishche,Puchishche
b_puck,Puck
b_pudozh,Pudoga
b_puentedeorbigo,Puente de Órbigo
b_puertollano,Puertollano
b_puhalepa,Pühhalep
b_puho,Puhó
b_puigcerda,Puigcerda
b_puisserguier,Puègserguièr
b_pula,Pola
b_pulad,Pulád
b_pultusk,Pultusk
b_purchena,Purchena
b_pushang,Púshang
b_pusignan,Pusignan
b_putbus,Putbus
b_putlitz,Putlitz
b_putna,Putna
b_puttlingen,Puttlingen
b_putyvl,Putivl
b_puurmani,Talkhof
b_pylai,Pylai
b_pyrgion,Pyrgion
b_pyritz,Pyrtiz
b_pyrmont,Pyrmont
b_pyryatyn,Pirjatin
b_pyzdry,Pyzdry
b_pzczyna,Pszczyna
b_qadisiyyah,Qádisiyya
b_qafsa,Qafsa
b_qalaatalgindi,Qal'at Al-Jundi
b_qalaatsanaa,al-Qasr
b_qalat_mahdi,Qal'at al-Mahdi
b_qalatbaghdad,Qal'at al-Baghdad
b_qalatbasra,Qal'at al-Basra
b_qalatbhammad,Qal'at Banu Hammád
b_qalathuwara,Qal'at Huwwára
b_qalatjabar,Qal'at Ja'bar
b_qalatkufa,Qal'at al-Kúfa
b_qalatmedina,Qal'at al-Madína
b_qalatmirani,Mirani
b_qalatnajm,Qal'at Najm
b_qalatnizwa,Qal'at al-Nizwa
b_qalatsira,Sira
b_qalatsuhar,Qal'at al-Suhar
b_qalattagrit,Qal'at al-Takrit
b_qalatzabid,Qal'at al-Zabid
b_qalhat,Qalhat
b_qalshana,Qalshána
b_qalyub,Qalyúb
b_qamuda,Qamúda
b_qarashahr,Qarashahr
b_qarasuvbazar,Qarasuvbazar
b_qarawiyyin,al-Qarawiyyín
b_qarnin,Qarnín
b_qartasa,Qartasá
b_qasan,Qashan
b_qasr_al_hallabat,Qasr Al-Hallabat
b_qasralhayralgharbi,Qasr al-Hayr al-Gharbi
b_qasralhayralsharqi,Qasr al-Hayr al-Sharqi
b_qasrelwizz,Qasr el-Wizz
b_qasribrim,Qasr Ibrim
b_qayaliq,Qayaliq
b_qazan,Qazan
b_qeshm,Qeshm
b_qiha,Qiha
b_qina,Qiná
b_qinnasrin,Qinnasrin
b_qlaudia,Qlaudia
b_qocho,Qocho
b_qom,Qom
b_quakenbruck,Quakenbrück
b_quattara,Quattara
b_qubadiyan,Qubádiyán
b_qubaferghana,Qubá
b_qubban,Qubban
b_quedlinburg,Quedlinburg
b_quena,Quena
b_quenzla,Quenzla
b_querfurt,Querfurt
b_quermanco,Quermanco
b_quft,Qift
b_quimper,Quimper
b_quimperle,Quimperlé
b_quintanardelrey,Quintanar del Rey
b_quintin,Quintin
b_quiros,Quirós
b_quitzow,Quitzow
b_qula,Qula
b_qulzum,Qulzum
b_qumisha,Qúmísha
b_qurta,Qurta
b_quryat,Quryat
b_qus,Qús
b_qusayr,Al-Qusayr
b_qusqam,Qús Qám
b_qutruh,Qutruh
b_quwaysina,Quwaysiná
b_quyash,Quyash
b_quzdar,Qusdár
b_quzordu,Quz Ordu
b_raabs,Raabs
b_rabadha,Rabadha
b_rabastens,Rabastens
b_rabat,Ribát al-Fath
b_rabenswalde,Rabenswalde
b_raby,Raby
b_raciborz ,Racibórz 
b_rackeve,Ráckeve
b_radaa,Rada'a
b_radicofani,Radicofani
b_radkan,Radkán
b_radom,Radom
b_radomsko,Radomsko
b_radonezh,Radonez
b_radstadt,Radstadt
b_radwan,Radwan
b_radziejow,Radziejow
b_radzyn,Radzyn
b_rafaniyya,Rafaniyya
b_ragnhildsholm,Ragnildarholmir
b_ragnit,Ragnita
b_ragusa,Dubrovnik
b_ragusa_sicily,Ragusa
b_raguseo,Raguseo
b_rahachow,Rogachev
b_raidestos,Raidestos
b_raiskum,Raiskum
b_raivola,Raivola
b_rajec,Rajec
b_rajgrod,Raigardas
b_rajsna,Rajsna
b_rakka,ar-Raqqa
b_rakkada,Raqqáda
b_rakvere,Wesenbergh
b_rala_kharmar,Rala Kharmar
b_ram,Rám
b_ram_branicevo,Ram
b_rambouillet,Rambouillet
b_ramhurmuz,Ramhormúz
b_ramitan,Rámítan
b_rammala,Ramelie
b_ramnicu_valcea,Râmnic
b_ramniculsarat,Ramnicul Sarat
b_ramsbury,Ramsbury
b_ramsey,Ramsey
b_ramsis,Ramsís
b_randa,Randa
b_randers,Randrøs
b_rantzau,Rantzau
b_ranyah,Ranyá
b_rapallo,Rapallo
b_raphania,Raphania
b_rapla,Rappel
b_rappoltstein,Rappoltstein
b_raron,Raron
b_ras-al-kalb,Ras-al-Kalb
b_ras_el_ma,Rás el-Má
b_rasbaalek,Deir Saidat ar-Ras
b_rasbouppland,Resbo
b_raseborg,Raseborg
b_raseiniai,Rasseyne
b_rases,Rasès
b_rashid,Rashíd
b_rasht,Rasht
b_rasht_gilan,Rasht
b_rask,Rásk
b_rassidr,Rass Sidr
b_rastarkalv,Rastarkalfr
b_rastede,Rastede
b_rastembork,Rastenburg
b_rastyapino,Rastyapino
b_ratoath,Ratoath
b_ratzeburg,Ratzeburg
b_raudondvaris,Raudondvaris
b_rauna,Ronneburg
b_ravanica_monestary,Ravanica
b_ravello,Ravello
b_ravengiersburg,Ravengiersburg
b_ravenna,Ravenna
b_ravensberg,Ravensberg
b_ravensburg,Ravensburg
b_ravenstein,Ravenstein
b_ravno,Ravno
b_rawa,Rawa
b_rayin,Ráyin
b_rayleigh,Rayleigh
b_rayy,Ray
b_re,Ré
b_reading,Reading
b_rebgau,Rebgau
b_rechberg,Rechberg
b_recklinghausen,Recklinghausen
b_recyca,Recica
b_redon,Redon
b_redondesco,Redondesco
b_redondo,Redondo
b_redwitz,Redwitz
b_reetz,Reetz
b_refshale,Ræfshalaburgh
b_regensberg,Regensberg
b_regensburg,Regensburg
b_regenstein,Regenstein
b_reggane,Reggane
b_reggio,Reggio
b_reggionellemila,Reggionellemila
b_regoly,Regöly
b_reguengos,Reguengos
b_rehna,Rehna
b_reichenau,Reichenau
b_reichenbach,Reichenbach
b_reichenhall,Reichenhall
b_reichersberg,Reichersberg
b_reifferscheid,Reifferscheid
b_reigate,Reigate
b_reims,Reims
b_rein,Rein
b_reinfeld,Reinfeld
b_reinhardsbrunn,Reinhardsbrunn
b_rejhrad,Rejhrad
b_rekas,Rékas
b_remagen,Remagen
b_remiremont,Remiremont
b_renda,Ängermunde
b_rendina,Rentine
b_rendsburg,Rendsburg
b_renesse,Renesse
b_renfrew,Renfrew
b_rennes,Rennes
b_rerik,Rerik
b_resafa,Resafa
b_resen,Resan
b_resicabanya,Resciabanya
b_restormel,Restormel
b_reszel,Rössel
b_rethel,Réthel
b_rethymno,Rhíthimna
b_reus,Reus
b_reutlingen,Reutlingen
b_reventlow,Reventlow
b_rewley,Rewley
b_reykjavik,Reykjarvík
b_rezekene,Rositten
b_rhayader,Rhayader
b_rhazuns,Rhazuns
b_rheda,Rheda
b_rheden,Rheden
b_rheinberg,Rheinberg
b_rheinfelden,Rheinfelden
b_rheinfels,Rheinfels
b_rhodos,Rhódos
b_rhosus,Rosos
b_rhuddlan,Rhuddlan
b_ribadavia,Ribadavía
b_ribadeo,Ribadeo
b_ribat-i-hafs,Ribat-i Hafs
b_ribat-i-karvan,Ribát-i-Karván
b_ribatshakir,Ribát Shakír
b_ribe,Ripæ
b_ribnitaolivia,Ribnita
b_ribnitz,Ribnitz
b_richmond,Richmond
b_richow,Richow
b_ricklingen,Ricklingen
b_rieneck,Rieneck
b_rieolet,Rieolet
b_rietberg,Rietberg
b_rieti,Rieti
b_rievaulx,Rievaulx
b_riga,Riga
b_riggenberg,Riggenberg
b_rijeka,Rijeka
b_rijnsburg,Rijnsburg
b_rila,Rila
b_rim_gora,Rim Gora
b_rimini,Rimini
b_ringkoebing,Rennumkøpingh
b_ringnes,Hringanes
b_ringsaker,Hringisakr
b_ringsted,Ryngstath
b_rinteln,Rinteln
b_riom,Riom
b_ripky,Ripky
b_ripoll,Ripoll
b_ripon,Ripon
b_risan,Risan
b_rishtan,Rishtán
b_risiom,Risiom
b_rissa,Rein
b_ristiina,Kristina
b_riva,Riva
b_rivand,Rívand
b_rivieresurtarn,Castèl de Pèira Lada
b_rivsharan,Rívshárán
b_rixingen,Rixingen
b_rizaion,Rizaion
b_rochechouart,Rechoard
b_rochefort,Rochefort
b_rochester,Rochester
b_rockingham,Rockingham
b_roden,Roden
b_rodez,Rodés
b_roermond,Roermond
b_roervik,Rørvik
b_roest,Røst
b_rogatica,Rogatica
b_rogoi,Rogoi
b_rogozno,Rogozno
b_rohonc,Rohonc
b_rokantiskes,Rokantiškés
b_rolduc,Rolduc
b_roma,Roma
b_romagnano,Romagnano
b_romainmotier,Romainmôtier
b_roman,Roman
b_romano,Romano
b_romanopolis,Chapaghjur
b_romanov,Romanov
b_romans_sur_isere,Romans
b_romena,Romena
b_romilly,Romilly
b_rommersdorf,Rommersdorf
b_romney,Romeny
b_romsey,Romsey
b_romuva,Romuva
b_ronacagli,Ronacagli
b_roncesvalles,Roncesvalles
b_ronda,Ronda
b_rongu,Ringen
b_ronne,Rothnæ
b_ronneby,Rotnæby
b_ronsberg,Ronsberg
b_ropazi,Rodenpois
b_roquefeuil,Ròcafuèlh
b_roquefort,Ròcahòrt
b_roquetasdemar,Roquetas de Mar
b_rosate,Rosate
b_roscoff,Roscoff
b_roselle,Roselle
b_rosemarkie,Rosemarkie
b_rosenberg,Rosenberg
b_roseto,Roseto
b_rosiorriidevede,Rusii de Vede
b_roskilde,Roskeldæ
b_roslavl,Rostislavl
b_rosnay,Rosnay
b_rossano,Rossano
b_rosswag,Rosswag
b_rostock,Rostock
b_rostov,Rostov
b_rot,Rot
b_rotala,Rotala
b_rotenburg,Rotenburg
b_rothenburg,Rothenburg
b_rothenstein,Rothenstein
b_rots,Rots
b_rottenburg,Rottenburg
b_rottweil,Rottweil
b_roucy,Roucy
b_rougemont,Rougemont
b_rougemont_greyerz,Rougemont
b_rougemonten,Rougemonten
b_roumana,Roumana
b_rovereto,Rovereto
b_rovigo,Rovigo
b_rovinj,Rovinj
b_rovno,Rovno
b_roxburgh,Roxburgh
b_rozan,Rózan
b_rozsahegy,Rózsahegy
b_ruad,Ruad
b_rucavas,Rutzau
b_ruda,Ruda
b_rudbar,Rúdbár
b_rudkan,Rúdkán
b_rudnik,Rudnik
b_rudnya,Rodnya
b_rudolphswerth,Rudolphswerth
b_rudolstadt,Rudolstadt
b_rudy,Rudy
b_rufaa,Rufa'a
b_rufford,Rufford
b_rugard,Rugard
b_ruhja,Rujen
b_rumailah,Rumaila
b_rumigny,Rumigny
b_rungholt,Rungholt
b_runkel,Runkel
b_ruppin,Ruppin
b_rusa,Rusa
b_rushen,Rushen
b_rusne,Rusné
b_rusokastro,Rusokastro
b_rustaq,Rustaq
b_rustaq_nizwa,Rustaq
b_rustavi,Rustavi
b_ruszt,Ruszt
b_ruthen,Rüthen
b_ruy,Rúy
b_ruza,Ruza
b_ryazan,Ryazan
b_ryazhsk,Ryazhsk
b_rybinsk,Rybansk
b_rybnino,Rybnino
b_rydbo,Rydbo
b_rye,Rye
b_rylsk,Ryl'sk
b_rzeszow,Rzezow
b_rzhev,Rzeva
b_sa,Sa'
b_saa,Sá
b_saalfeld,Saalfeld
b_saarbrucken,Saarbrücken
b_saarwerden,Saarwerden
b_sabab,Sabáb
b_sabat,Sábát
b_sabbioneta,Sabbioneta
b_sabiba,Sabíba
b_sabile,Zabeln
b_sabra,Sabra
b_sabrata,Sabrata
b_sabugal,Sabugal
b_sacco,Sacco
b_sacramenia,Sacramenia
b_sacz,Sandec
b_sadad,Sadad
b_sadah,Sa'da
b_saddell,Saddell
b_sadrata,Sadráta
b_sadvar,Sadvár
b_safaga,Safáqa
b_safanqu,Safanqu
b_safata,Safata
b_safed,Saphet
b_saffenburg,Saffenburg
b_safi,Safi
b_safo,Safo
b_safsaf,Safsaf
b_saft,Saft al-Muhallabí
b_safwan,Safwan
b_saghand,Sághand
b_sagone,Sagone
b_sahagun,Sahagún
b_sahmar,Sahmar
b_saho,Saho
b_sai,Sai
b_saida,Sa'ída
b_saidnaya,Saidnaya
b_saillon,Saillon
b_saimara,Saimara
b_saindemba,Sain Demba
b_saingilles,Sant Geli
b_saint_arnoul,Saint-Arnoul
b_saint_avold,Saint-Avold
b_saint_bonnet_en_champsaur,Saint-Bonnet
b_saint_maurice_en_montagne,Saint Maurice
b_saint_oyand,Saint Oyand
b_saint_paul_trois_chateaux,Saint Paul
b_saintantonin,Sant Antonin
b_saintbavo,Sint-Baafs
b_saintchaptes,Sench Agde
b_saintemere,Senta Mèra
b_saintflorentin,Saint-Florentin
b_saintgeorgesdannebecq,Anslebec
b_saintgirons,Sent Gironç
b_saintguilhemledesert,Sant Guilhèm dau Desèrt
b_saintlizier,Sent Líser
b_saintlo,Saint-Lô
b_saintmartindemondaye,Saint-Martin de Mondaye
b_saintmithiel,Saint-Mithiel
b_saintriquier,Saint-Riquier
b_saintromedecernon,Sent Roma de Sarnon
b_saintsamuel,St-Samuel
b_saintsauveurlevicomte,Saint-Sauveur
b_saintvaast,Saint-Vaast
b_saintwulmer,Saint-Wulmer
b_saissac,Saissac
b_saka,Saka
b_sakadame,Sakadame
b_sakakah,Sakáka
b_saksin,Sarigshin
b_sala_parmese,Sala
b_salacgriva,Salis
b_salakan,Sálakán
b_salakta,Salakta
b_salalah,Zufar
b_salamanca,Salamanca
b_salamis,Salamis
b_salamiscyprus,Konstanteia
b_salaspils,Kircholm
b_salcininkai,Šalcininkai
b_saldanya,Saldaña
b_saldus,Frauenburg
b_sale,Salá
b_salen,Salen
b_salerno,Salerno
b_salford,Salford
b_salins,Salins
b_salisbury,Salisbury
b_salkhard,Salhad
b_salm_en_vosge,Salm-en-Vosge
b_salo,Salo
b_salondeprovence,Salon
b_salqah,Salqah
b_saltwood,Saltwood
b_saluzzo,Saluzzo
b_salvaterra_de_magos,Salvaterra de Magos
b_salza,Salza
b_salzburg,Salzburg
b_salzwedel,Salzwedel
b_sama,Sáma
b_samangan,Samangán
b_samannud,Samannúd
b_samara,Samar
b_samarqand,Samarqand
b_samarra,Sámarrá
b_sambalut,Sambalut
b_sambir,Sambor
b_sambrandenburg,Brandenburg von der Friesisches Haff
b_samira,Samira
b_samkalako,Samakha
b_samobor,Samobor
b_samokov,Samokov
b_samos,Samos
b_samothrake,Samothrake
b_sampigny,Sampigny
b_samshvilde,Samshvilde
b_samsoe,Samsø
b_samundzhievo,Selin
b_san,Sán
b_san_bilbays,Sán
b_san_bonifacio,San Bonifacio
b_san_cassino,San Cassino
b_san_colombano,San Colombano
b_san_giorgio,San Giorgio
b_san_giulio,San Giulio
b_san_leo,Leo
b_san_marco,San Marco
b_san_marino,Marino
b_san_martino,San Martino
b_san_millan,San Millán
b_san_secondo,San Secondo
b_san_severino_lucano,Lucano
b_san_valentino,San Vanlentino
b_san_victorian,San Victorián
b_sana,Sana
b_sanaa,San'a
b_sanabria,Sanabria
b_sanahin,Sanahin
b_sanamayn,Sanamayn
b_sancerre,Sancerre
b_sanclemente,San Clemente
b_sanctispiritus,Sancti Spiritus
b_sandabad,Sandabád
b_sandbach,Sandbach
b_sande,Sandvín
b_sandefjord,Gauksstaðir
b_sandnessjoeen,Sandnes
b_sandomierz,Sandomierz
b_sandwich,Sandwich
b_sanfernando,San Fernando
b_sangerhausen,Sangerhausen
b_sangjilan,San Giljan
b_sanglich,Sanglích
b_sangro,Sangro
b_sanguesa,Sangüesa
b_sanjosedelvalle,San José del Valle
b_sankaran,Sankaran
b_sankimost,Sanki Most
b_sankore,Sankore
b_sankt_emmeran,Sankt Emmeran
b_sanktgeorgen,Sankt Georgen
b_sanktsophia,St-Sophia
b_sanktveit,Sankt Veit
b_sanlucadebarrameda,Sanlucar de Barrameda
b_sanlucarlamayor,Sanlucar la Mayor
b_sanneck,Sanneck
b_sanok,Sanok
b_sanpawl,Il-Gzejjer ta'San Pawl
b_sanpietro,San Pietro
b_sanroque,San Roque
b_sansebastian,San Sebastián
b_sant_cugat,Sant Cugat
b_sant_severo,Sant Servo
b_santa_cruz_de_campezo,Santa Cruz de Campezo
b_santa_fiora,Santa Fiora
b_santa_severina,Severina
b_santaagueda,Santa Águeda
b_santamariadelnaranco,Santa María del Naranco
b_santander,Santander
b_santaponsa,Santa Ponsa
b_santarem,Santarém
b_santariya,Santaríya
b_santiago,Santiago
b_santiagodocacem,Santiago do Cacém
b_santillanadelmar,Santillana del Mar
b_santlluis,Sant Lluis
b_santodomingodelacalzada,Santo Domingo de la Calzada
b_santoestevo,Santo Estevo
b_santok,Zantoch
b_santonya,Santoña
b_santperederoda,Sant Pere de Roda
b_santuy,Santuy
b_sanvicentedelabarquera,San Vicente de la Barquera
b_sao,Sao
b_saone,Saône
b_sapaksi,Sapaksi
b_sapcote,Sapcote
b_saqqara,Saqqara
b_sarai_batu,Yeni Saray
b_sarai_berke,Saray
b_sarakhs,Sarakhs
b_saramsah,Saramsáh
b_saransk,Saransk
b_sarapul,Sarapul
b_saratov,Ükäk
b_saravan,Saraván
b_sarbogard,Sárbogárd
b_sarbulaq,Sarbulaq
b_sardis,Sardeis
b_sarepta,Sarepta
b_sari,Sari
b_sarisu,Sarisu
b_sarkel,Sarkel
b_sarmada,Sarmada
b_sarmeniasyria,Sarmenia
b_sarmin,Sarmin
b_sarnah,Sarnah
b_sarnen,Sarnen
b_sarno,Sarno
b_sarov,Sarov
b_sarpa,Sarpa
b_sarpsborg,Borg
b_sarqand,Sarqand
b_sarqihya,Sarqihya
b_sarrebourg,Sarrebourg
b_sarria,Sarria
b_sarskoyegorodishche,Sarskoye Gorodishche
b_saruk,Sárúk
b_sarum,Sarum
b_sarvan,Sarván
b_sarvistan,Sarvestán
b_saryshagan,Saryshagan
b_sarzana,Sarzana
b_sasko,Saskõ
b_sason,Sason
b_sassari,Sassari
b_sassenage,Sassenage
b_sassuolo,Sassuolo
b_satala,Satala
b_satao,Sátão
b_satoczno,Leunenburg
b_satoraljaujhely,Sátoraljaújhely
b_sattelbogen,Sattelbogen
b_saulieu,Saulieu
b_sausenberg,Sausenberg
b_sava,Sava
b_savona,Savona
b_savrandacastle,Servantikar
b_sawakin,Suwakín
b_sawran,Sawrán
b_sax,Sax
b_say,Say
b_sayn,Sayn
b_sazava,Sazava
b_scaaarpone,Scarpone
b_scandelon,Escalone
b_scarborough,Scarborough
b_scarlino,Scarlino
b_schaffhausen,Schaffhausen
b_schagen,Schagen
b_schanis,Schänis
b_scharbeutz,Scharbeutz
b_scharding,Schärding
b_schauenburg,Schauenburg
b_schaunberg,Schaunberg
b_scheia,Scheia
b_schelklingen,Schelklingen
b_schenfeldt,Schenfeldt
b_schippenbeil,Schippenbeil
b_schleiden,Schleiden
b_schlettstadt,Schlettstadt
b_schlochau,Schlochau
b_schluchtern,Schluchtern
b_schlusselberg,Schlusselberg
b_schmalegg,Schmalegg
b_schmalkalden,Schmalkalden
b_schmidtburg,Schmidtburg
b_schnackenburg,Schnackenburg
b_schoenburg,Schoenburg
b_schonau,Schönau
b_schonau_aachen,Schönau
b_schouf,Schouf
b_schuf,Schuf
b_schulenburg,Schulenburg
b_schussenried,Schussenried
b_schuttorf,Schüttorf
b_schwabach,Schwabach
b_schwabisch_gmund,Gmund
b_schwabisch_hall,Hall
b_schwalenberg,Schwalenberg
b_schwarzach,Schwarzach
b_schwarzburg,Schwarburg
b_schweinfurt,Schweinfurt
b_schwerin,Schwerin
b_schwetz,Schwetz
b_schwyz,Schwyz
b_scinawa,Scinawa
b_scipione,Scipione
b_sclafani,Sclafani
b_scone,Scone
b_sebastia,Sebasteia
b_sebastopolis,Sebastopolis
b_sebezpskov,Sebez
b_sebha,Sebha
b_seckau,Seckau
b_secui,Secui
b_sedan,Sedan
b_sedniv,Sedniv
b_seebenstein,Seebenstein
b_sefrou,Sufrúy
b_segeberg,Segeberg
b_segni,Segni
b_segou,Segou
b_segovia,Segovia
b_seguik,Seguik
b_seia,Seia
b_seiboldsdorf,Seiboldsdorf
b_seim,Sæheimr
b_seiz,Seiz
b_sejny,Seinai
b_sekota,Sekota
b_selby,Selby
b_selchow,Selchow
b_selco,Sel'tso
b_seleukeia,Seleukeia
b_seligenstadt,Seligenstadt
b_selinus,Selinos
b_selizharovo,Hotsin
